,Unnamed: 0.1,Unnamed: 0,Unit,Module,Title,Text,Subheaders,questions,predicted_label,human_eval,Information Score,Perplexity
0,116,124,Solids and Liquids,Phase Changes,Clausius-Clapeyron Equation,"The quantitative relation between a substances            vapor pressure and its temperature is described by the Clausius-Clapeyron equation:
P\\;=\\;Ae^{-\\Delta H_{vap}/RT}
where \xceHvap is the enthalpy of vaporization for the            liquid, R is the gas constant, and A is a constant whose value depends on the chemical            identity of the substance. Temperature T must be in Kelvin in this equation. This            equation is often rearranged into logarithmic form to yield the linear equation:
\\ln\\;P\\;=\\;-\\frac{\\Delta            H_{vap}}{RT}+\\;\\ln\\;A
This linear equation may be expressed in a            two-point format that is convenient for use in various computations, as demonstrated in            the example exercises that follow. If at temperature T1, the vapor pressure            is P1, and at temperature T2, the vapor pressure is P2,            the corresponding linear equations are:
\\ln\\;P_1\\;=\\;-\\frac{\\Delta            H_{vap}}{RT_1}+\\;\\ln\\;A\\; \ext{and} \\;\\ln\\;P_2\\;=\\;-\\frac{\\Delta            H_{vap}}{RT_2}+\\;\\ln\\;A
Since the constant, A, is the same, these two            equations may be rearranged to isolate ln A and then set them equal to one another:
\\ln\\;P_1\\;\\;+\\;\\frac{\\Delta            H_{vap}}{RT_1}\\;=\\;\\ln\\;P_2\\;\\;+\\;\\frac{\\Delta H_{vap}}{RT_2}\\;
which can be combined into:
\\ln\\;\\frac{P_2}{P_1}\\;=\\;\\frac{\\Delta            H_{vap}}R\\left(\{T_1}-\{T_2}\ight)
Isooctane (2,2,4-trimethylpentane) has an                octane rating of 100. It is used as one of the standards for the octane-rating                system for gasoline. At 34.0 C, the vapor pressure of isooctane is 10.0 kPa, and at                98.8 C, its vapor pressure is 100.0 kPa. Use this information to estimate the                enthalpy of vaporization for isooctane.
The enthalpy of vaporization, \xceHvap,                can be determined by using the Clausius-Clapeyron equation:
\\ln\\;\\frac{P_2}{P_1}\\;=\\;\\frac{\\Delta                H_{vap}}R\\left(\{T_1}-\{T_2}\ight)
Since we have two vapor pressure-temperature                values (T1 = 34.0 C = 307.2 K, P1 = 10.0 kPa and                T2 = 98.8 C = 372.0 K, P2 = 100 kPa), we can substitute                them into this equation and solve for \xceHvap. Rearranging the                Clausius-Clapeyron equation and solving for \xceHvap yields:
\\Delta                H_{vap}=\\frac{R\\cdot\\ln\\left({\\displaystyle\\frac{P_2}{P_1}}\ight)}{\\left(\{T_1}-\{T_2}\ight)}=\\;\\frac{(8.314\\;\\mathrm                J/\\mathrm{mol}\\cdot\\mathrm                K)\\cdot\\ln\\left({\\displaystyle\\frac{100.\\;\\mathrm{kPa}}{10.0\\;\\mathrm{kPa}}}\ight)}{\\left(\{307.2\\;\\mathrm                K}-\{372.0\\;\\mathrm K}\ight)}\\;=33,800\\;\\mathrm                J/\\mathrm{mol}\\;=\\;33.8\\;\\mathrm{kJ}/\\mathrm{mol}
Note that the pressure can be in any units, so                long as they agree for both P values, but the temperature must be in kelvin for the                Clausius-Clapeyron equation to be valid.
For benzene (C6H6), the                normal boiling point is 80.1 C and the enthalpy of vaporization is 30.8 kJ/mol.                What is the boiling point of benzene in Denver, where atmospheric pressure = 83.4                kPa?
Solution
If the temperature and vapor pressure are known                at one point, along with the enthalpy of vaporization, \xceHvap, then the temperature                that corresponds to a different vapor pressure (or the vapor pressure that                corresponds to a different temperature) can be determined by using the                Clausius-Clapeyron equation:
\\ln\\;\\frac{P_2}{P_1}\\;=\\;\\frac{\\Delta                H_{vap}}R\\left(\{T_1}-\{T_2}\ight)
Since the normal boiling point is the                temperature at which the vapor pressure equals atmospheric pressure at sea level, we                know one vapor pressure-temperature value (T1 = 80.1 C = 353.3 K,                P1 = 101.3 kPa, \xceHvap = 30.8 kJ/mol) and want to find the                temperature (T2) that corresponds to vapor pressure P2 = 83.4                kPa. We can substitute these values into the Clausius-Clapeyron equation and then                solve for T2. Rearranging the Clausius-Clapeyron equation and solving for                T2 yields:
T_2\\;=\\left(\\frac{-R\\cdot\\ln\\left({\\displaystyle\\frac{P_2}{P_1}}\ight)}{\\Delta                H_{vap}}\\;+\\;\{T_1}\ight)^{-1}\\;=\\;\\left(\\frac{-(8.3145\\;\\mathrm                J/\\mathrm{mol}\\cdot\\mathrm                K)\\cdot\\ln\\left({\\displaystyle\\frac{83.4\\;\\mathrm{kPa}}{101.3\\;\\mathrm{kPa}}}\ight)}{30,800\\;\\mathrm                J/\\mathrm{mol}}\\;+\\;\{353.3\\;\\mathrm K}\ight)^{-1}
T_2\\; = 346.9\\; K\\; = 73.8\\; C",Solution,what is the relationship between a substance and its temperature?,1,1,4.200000000000001,25.57975006103516
1,182,197,Composition of Substances and Solutions,Aqueous Solutions,Module Summary and Quiz,"Solutions are homogeneous mixtures. Many solutions contain one component, called                    the solvent, in which other components, called solutes, are dissolved. An                    aqueous solution is one for which the solvent is water. The concentration of a                    solution is a measure of the relative amount of solute in a given amount of                    solution. Concentrations may be measured using various units, with one very                    useful unit being molarity, defined as the number of moles of solute per liter                    of solution. The solute concentration of a solution may be decreased by adding                    solvent, a process referred to as dilution. The dilution equation is a simple                    relation between concentrations and volumes of a solution before and after                    dilution.
In addition to molarity, a number of other solution concentration units are used                    in various applications. Percentage concentrations based on the solution                    components masses, volumes, or both are useful for expressing relatively high                    concentrations, whereas lower concentrations are conveniently expressed using                    ppm or ppb units. These units are popular in environmental, medical, and other                    fields where mole-based units such as molarity are not as commonly used.
Before you take the quiz, please evaluate your understanding of the                    learning objectives for the Aqueous Solutions module and use the                    My Response link below to ask any questions you might have about                    the material that you would like the instructor to address. Your questions can                    be for clarification of the material or further insight. Your self-evaluation                    and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is the correct understanding of the percentage of a solution?,1,0,3.666666666666668,58.72443771362305
2,10,10,Foundations of Chemistry,Measurements,Module Summary and Quiz,"Measurements provide quantitative information that is critical in studying and practicing chemistry.                Each measurement has an amount, a unit for comparison, and an uncertainty. Measurements can be                represented in either decimal or scientific notation. Scientists primarily use the SI (International System)                or metric systems. We use base SI units such as meters, seconds, and kilograms, as well as derived units,                such as liters (for volume) and g/cm3 (for density). In many cases, we find it convenient to use unit prefixes                that yield fractional and multiple units, such as microseconds (10-6 seconds) and megahertz (106 hertz),                respectively.
Quantities can be exact or measured. Measured quantities have an associated uncertainty that is represented by the number                of significant figures in the measurement. The uncertainty of a calculated value depends on the uncertainties in                the values used in the calculation and is reflected in how the value is rounded. Measured values can be accurate                (close to the true value) and/or precise (showing little variation when measured repeatedly).
Measurements are made using a variety of units. It is often useful or necessary to convert a measured                quantity from one unit into another. These conversions are accomplished using unit conversion factors,                which are derived by simple applications of a mathematical approach called the factor-label method or                dimensional analysis. This strategy is also employed to calculate sought quantities using measured                quantities and appropriate mathematical relations.
Before you take the quiz, please evaluate your understanding of the                    learning objectives for the Measurements module and use the                    My Response link below to ask any questions you might have about                    the material that you would like the instructor to address. Your questions can                    be for clarification of the material or further insight. Your self-evaluation                    and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is the relationship between a measured value and a calculated value?,1,1,4.636363636363634,21.063081741333008
3,164,179,Solutions,Solubility,Properties of Colloids,"Pioneers made soap by boiling fats with a strongly            basic solution made by leaching potassium carbonate, K2CO3, from            wood ashes with hot water. Animal fats contain polyesters of fatty acids (long-chain            carboxylic acids). When animal fats are treated with a base like potassium carbonate or            sodium hydroxide, glycerol and salts of fatty acids such as palmitic, oleic, and stearic            acid are formed. The salts of fatty acids are called soaps. The sodium salt of stearic            acid, sodium stearate, has the formula C17H35CO2Na and            contains an uncharged nonpolar hydrocarbon chain, the C17H35            unit, and an ionic carboxylate group, the  CO2 unit (shown below).
Soaps contain a nonpolar hydrocarbon                end (blue) and an ionic end (red). The ionic end is a carboxylate group. The                length of the hydrocarbon end can vary from soap to soap.
Detergents (soap substitutes) also contain nonpolar            hydrocarbon chains, such as C12H25, and an ionic group, such as a            sulfate, or a sulfonate (such            as the detergent shown below). Soaps form insoluble calcium and magnesium compounds in            hard water; detergents form water-soluble productsa definite advantage for            detergents.
Detergents contain a nonpolar                hydrocarbon end (blue) and an ionic end (red). The ionic end can be either a                sulfate or a sulfonate. The length of the hydrocarbon end can vary from                detergent to detergent.
The cleaning action of soaps and detergents can be            explained in terms of the structures of the molecules involved. The hydrocarbon            (nonpolar) end of a soap or detergent molecule dissolves in, or is attracted to,            nonpolar substances such as oil, grease, or dirt particles. The ionic end is attracted            by water (polar), illustrated in the following figure. As a result, the soap or            detergent molecules become oriented at the interface between the dirt particles and the            water so they act as a kind of bridge between two different kinds of matter, nonpolar            and polar. Molecules such as this are termed amphiphilic since they have both a            hydrophobic (cwater-fearingd) part and a hydrophilic (cwater-lovingd) part. As a            consequence, dirt particles become suspended as colloidal particles and are readily            washed away.
This diagrammatic cross section of an                emulsified drop of oil in water shows how soap or detergent acts as an                emulsifier.
Dispersed colloidal particles are often            electrically charged. A colloidal particle of iron(III) hydroxide, for example, does not            contain enough hydroxide ions to compensate exactly for the positive charges on the            iron(III) ions. Thus, each individual colloidal particle bears a positive charge, and            the colloidal dispersion consists of charged colloidal particles and some free hydroxide            ions, which keep the dispersion electrically neutral. Most metal hydroxide colloids have            positive charges, whereas most metals and metal sulfides form negatively charged            dispersions. All colloidal particles in any one system have charges of the same sign.            This helps keep them dispersed because particles containing like charges repel each            other.
The charged nature of some colloidal particles may            be exploited to remove them from a variety of mixtures. For example, the particles            comprising smoke are often colloidally dispersed and electrically charged. Frederick            Cottrell, an American chemist, developed a process to remove these particles. The            charged particles are attracted to highly charged electrodes, where they are neutralized            and deposited as dust, such as in the Cottrell precipitator shown below. This is one of            the important methods used to clean up the smoke from a variety of industrial processes.            The process is also important in the recovery of valuable products from the smoke and            flue dust of smelters, furnaces, and kilns. There are also similar electrostatic air            filters designed for home use to improve indoor air quality.
In a Cottrell precipitator, positively                and negatively charged particles are attracted to highly charged electrodes,                where they are neutralized and deposited as dust.
Gelatin desserts, such as Jell-O, are a type of            colloid. Gelatin sets on cooling because the hot aqueous mixture of gelatin coagulates            as it cools, yielding an extremely viscous body known as a gel. A gel is a colloidal            dispersion of a liquid phase throughout a solid phase. It appears that the fibers of the            dispersing medium form a complex three-dimensional network, the interstices being filled            with the liquid medium or a dilute solution of the dispersing medium.
Gelatin desserts are colloids in which                an aqueous solution of sweeteners and flavors is dispersed throughout a medium                of solid proteins. (credit photo: modification of work by Steven                Depolo)
Pectin, a carbohydrate from fruit juices, is a            gel-forming substance important in jelly making. Silica gel, a colloidal dispersion of            hydrated silicon dioxide, is formed when dilute hydrochloric acid is added to a dilute            solution of sodium silicate. Canned Heat is a flammable gel made by mixing alcohol and a            saturated aqueous solution of calcium acetate.",,what is the relationship between the two types of soap?,1,0,0.0,24.802610397338867
4,57,60,Gases,Gas Laws,Measuring Gas Pressure,"We can measure atmospheric pressure, theforce exerted by the atmosphere on the earths surface, with a barometer. Abarometer is a glass tube that is closed at one end, filled with a nonvolatileliquid such as mercury, and then inverted and immersed in a container of thatliquid. The atmosphere exerts pressure on the liquid outside the tube, thecolumn of liquid exerts pressure inside the tube, and the pressure at the liquidsurface is the same inside and outside the tube. The height of the liquid in thetube is therefore proportional to the pressure exerted by the atmosphere.
If the liquid is water, normal atmosphericpressure will support a column of water over 10 meters high, which is ratherinconvenient for making (and reading) a barometer. Because mercury (Hg) is about.6-times denser than water, a mercury barometer only needs to be .6 as tall as a water barometera more suitable size. Standardatmospheric pressure of 1 atm at sea level (101,325 Pa) corresponds to a columnof mercury that is about 760 mm (29.92 in.) high.
A manometer is a device similar to abarometer that can be used to measure the pressure of a gas trapped in acontainer. An open-end manometer is a U-shaped tube with one arm open to theatmosphere, one arm that connects to the gas to be measured, and a nonvolatileliquid (usually mercury) in between. The distance between the liquid levelscorresponds to the difference in pressure between the gas in the container andthe atmosphere.
Calculate the pressure of the gas in the manometer pictured below in units ofkPa. Atmospheric pressure is determined to be 100.5 kPa.
In order to use the equation Pgas = Patm  h, the height and the atmosphericpressure need to be in the same units. Since we want our final answer inunits of kPa, we will convert 53 mmHg to kPa and then use the equation.
Now we can apply the equation:
*Note: Don\'t forget your significant figure rules for adding and subtracting.In this example, we rounded our answer to the tenths place because that isthe last place value where both of our measurements have a significantfigure.",,what is the last place value in the model of a manometer?,1,1,4.636363636363634,121.15444946289062
5,20,21,Foundations of Chemistry,Atomic Theory,Early Atomic Theory,"The earliest recorded discussion of the basic structure of matter comes from ancient Greek philosophers,             the scientists of their day. In the fifth century BC, Leucippus and Democritus argued that all matter was             composed of small, finite particles that they called atomos, a term derived from the Greek word for cindivisible.d             They thought of atoms as moving particles that differed in shape and size, and which could join together. Later,             Aristotle and others came to the conclusion that matter consisted of various combinations of the four celementsdfire,             earth, air, and waterand could be infinitely divided. Interestingly, these philosophers thought about atoms and celementsd             as philosophical concepts, but apparently never considered performing experiments to test their ideas.
The Aristotelian view of the composition of matter held sway for over two thousand years, until English schoolteacher John             Dalton helped to revolutionize chemistry with his hypothesis that the behavior of matter could be explained using an atomic             theory. First published in 1807, many of Daltons hypotheses about the microscopic features of matter are still valid in modern             atomic theory. Here are the postulates of Daltons atomic theory.
Daltons atomic theory provides a microscopic explanation of the many macroscopic properties of matter that youve             learned about. For example, if an element such as copper consists of only one kind of atom, then it cannot be broken             down into simpler substances, that is, into substances composed of fewer types of atoms. And if atoms are neither             created nor destroyed during a chemical change, then the total mass of matter present when matter changes from one             type to another will remain constant (the law of conservation of matter).
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is the law of conservation of matter mentioned in the text?,1,1,0.0,41.625144958496094
6,190,205,Solutions,Solubility,Module Summary and Quiz,"A solution forms when two or more substances combine physically to yield a mixture that            is homogeneous at the molecular level. The solvent is the most concentrated component            and determines the physical state of the solution. The solutes are the other components            typically present at concentrations less than that of the solvent. Solutions may form            endothermically or exothermically, depending upon the relative magnitudes of solute and            solvent intermolecular attractive forces. Ideal solutions form with no appreciable            change in energy.
Substances that dissolve in water to yield ions are called electrolytes. Electrolytes may            be covalent compounds that chemically react with water to produce ions (for example,            acids and bases), or they may be ionic compounds that dissociate to yield their            constituent cations and anions, when dissolved. Dissolution of an ionic compound is            facilitated by ion-dipole attractions between the ions of the compound and the polar            water molecules. Soluble ionic substances and strong acids ionize completely and are            strong electrolytes, while weak acids and bases ionize to only a small extent and are            weak electrolytes. Nonelectrolytes are substances that do not produce ions when            dissolved in water.
The extent to which one substance will dissolve in another is determined by several            factors, including the types and relative strengths of intermolecular attractive forces            that may exist between the substances atoms, ions, or molecules. This tendency to            dissolve is quantified as a substances solubility, its maximum concentration in a            solution at equilibrium under specified conditions. A saturated solution contains solute            at a concentration equal to its solubility. A supersaturated solution is one in which a            solutes concentration exceeds its solubilitya nonequilibrium (unstable) condition that            will result in solute precipitation when the solution is appropriately perturbed.            Miscible liquids are soluble in all proportions, and immiscible liquids exhibit very low            mutual solubility. Solubilities for gaseous solutes decrease with increasing            temperature, while those for most, but not all, solid solutes increase with temperature.            The concentration of a gaseous solute in a solution is proportional to the partial            pressure of the gas to which the solution is exposed, a relation known as Henrys            law.
Before you take the quiz, please evaluate your understanding of the                    learning objectives for the Solubility module and use the                    My Response link below to ask any questions you might have about                    the material that you would like the instructor to address. Your questions can                    be for clarification of the material or further insight. Your self-evaluation                    and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under   Creative Commons Attribution                4.0 License.
Download for free at .",,what can be concluded from the article?,0,0,0.0,50.820045471191406
7,101,106,Foundations of Chemistry,Atomic Theory,The Nuclear Atom,"The next major development in understanding the atom came from Ernest Rutherford, a            physicist from New Zealand who largely spent his scientific career in Canada and            England. He performed a series of experiments using a beam of high-speed, positively            charged alpha particlespositively charged particle consisting of two protons and two neutrons (\xce particles) that were produced by the radioactive decay of            radium; \xce particles consist of two protons and two neutrons. Rutherford and his            colleagues Hans Geiger (later famous for the Geiger counter) and Ernest Marsden aimed a            beam of \xce particles, the source of which was embedded in a lead block to absorb most of            the radiation, at a very thin piece of gold foil and examined the resultant scattering            of the \xce particles using a luminescent screen that glowed briefly where hit by an \xce            particle.
positively charged particle consisting of two protons and two neutrons
What did they discover? Most particles passed right through the foil without being            deflected at all. However, some were diverted slightly, and a very small number were            deflected almost straight back toward the source.
Here is what Rutherford deduced: Because most of the fast-moving \xce particles passed            through the gold atoms undeflected, they must have traveled through essentially empty            space inside the atom. Alpha particles are positively charged, so deflections arose when            they encountered another positive charge (like charges repel each other). Since like            charges repel one another, the few positively charged \xce particles that changed paths            abruptly must have hit, or closely approached, another body that also had a highly            concentrated, positive charge. Since the deflections occurred a small fraction of the            time, this charge only occupied a small amount of the space in the gold foil. Analyzing            a series of such experiments in detail, Rutherford drew two conclusions:
This analysis led Rutherford to propose a model in which an atom consists of a very            small, positively charged nucleus, in which most of the mass of the atom is            concentrated, surrounded by the negatively charged electrons, so that the atom is            electrically neutral. He named this fundamental particle the protonPositively charged subatomic particle located in the nucleus of the atom., the positively            charged, subatomic particle found in the nucleus. With one addition, which you will            learn next, this nuclear model of the atom, proposed over a century ago, is still used            today.
Positively charged subatomic particle located in the nucleus of the atom.
The image in the activity below represents a close-up diagram of Rutherford\'s gold                foil experiment. Drag the description of the observation that Rutherford made to the                place on the diagram that represents that observation.
One puzzle remained: The nucleus was known to contain almost all of the mass of an atom,            with the number of protons only providing half, or less, of that mass. Different            proposals were made to explain what constituted the remaining mass, including the            existence of neutral particles in the nucleus. As you might expect, detecting uncharged            particles is very challenging, and it was not until 1932 that James Chadwick found            evidence of neutronsuncharged, subatomic particle located in the nucleus, uncharged, subatomic particles with a mass approximately the same            as that of protons.
uncharged, subatomic particle located in the nucleus
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what was the reaction of the positively charged \xce particles to the positive charge?,1,0,0.0,142.10813903808594
8,0,0,Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,"Swimming pools have long been a popular means of recreation, exercise, and physical            therapy. Since it is impractical to refill large pools with fresh water on a frequent            basis, pool water is regularly treated with chemicals to prevent the growth of harmful            bacteria and algae. Proper pool maintenance requires regular additions of various            chemical compounds in carefully measured amounts. For example, the relative amount of            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium            levels, calcium cations are added to the water in the form of an ionic compound that            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in            the compound and the volume of water in the pool in order to achieve the proper calcium            level. Quantitative aspects of the composition of substances (such as the            calcium-containing compound) and mixtures (such as the pool water) are the subject of            this unit.",,what should be kept in the pool according to the text?,1,0,0.0,90.21105194091795
9,50,53,Solids and Liquids,Phase Changes,Heating and Cooling Curves,"In the unit on thermochemistry, the relation between the amount of heat absorbed or            released by a substance, q, and its accompanying temperature            change, \xceT, was introduced:
where m is the mass of the substance and c is its specific heat. The relation applies to matter being heated or cooled,            but not undergoing a change in state. When a substance being heated or cooled reaches a            temperature corresponding to one of its phase transitions, further gain or loss of heat            is a result of diminishing or enhancing intermolecular attractions, instead of            increasing or decreasing molecular kinetic energies. While a substance is undergoing a            change in state, its temperature remains constant.
Consider the example of heating a pot of water to boiling. A stove burner will supply            heat at a roughly constant rate; initially, this heat serves to increase the waters            temperature. When the water reaches its boiling point, the temperature remains constant            despite the continued input of heat from the stove burner. This same temperature is            maintained by the water as long as it is boiling. If the burner setting is increased to            provide heat at a greater rate, the water temperature does not rise, but instead the            boiling becomes more vigorous (rapid). This behavior is observed for other phase            transitions as well: For example, temperature remains constant while the change of state            is in progress.
The slide show below shows the change in temperature that occurs when a constant source            of heat is added to ice with an initial temperature of -10.0 oC. The resulting graph is            known as a heating curve.
How much heat is required to convert 135 g of ice at  C into water vapor at 120                C?
The transition described involves the following steps:
The heat needed to change the temperature of a given substance (with no change in                phase) is: q = m  c  \xceT (see previous chapter on                thermochemistry). The heat needed to induce a given change in phase is given by q = n  \xceH.
Using these equations with the appropriate values for specific heat of ice, water,                and steam, and enthalpies of fusion and vaporization, we have:
Converting the quantities in J to kJ permits them to be summed, yielding the total                heat required:
The values below for water are used in the following example:
Calculate the heat required to convert 25.0 g solid ethanol at -135.0 oC                to liquid at 72.0 oC. Specific heat of solid ethanol = 0.97 J/g                    oC. Specific heat liquid ethanol 2.3 J/ g oC.
\xceHfus of ethanol = 4.9 kJ/mol
\xceHvap of ethanol = 38.56 kJ/mol
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .","Click ""NEXT"" to progress the slide show.,Click ""NEXT"" to see the example progress.",what is the relationship between a substance being heated or cooled and its component temperature?,1,1,3.2000000000000037,40.63013458251953
