,Unnamed: 0.1,Unnamed: 0,Unit,Module,Title,Subheaders,Paragraph,Question,predicted_label,human_eval,Information Score,Perplexity
0,168,168,Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Hypothesis Testing,"McNemar Test,P-Hacking","From our introduction to hypothesis testing, remember that the p-value is simply the probability that our null hypothesis implies the result we have. Due to this definition, we run into problems when we try to take paired tests, which look at pairs of models or pairs of means and expand them to handle more than two models at a time.","In addition to the p-value, what else is the p-value?",1,0,0.0,21.294580459594727
1,643,643,Collecting and Understanding Data,Data Collection,Study Design,,Tests an existing theory,"Tests an existing theory of the theory of relativity, which is based on what theory?",0,0,0.0,79.03993225097656
2,564,564,Exploratory Data Analysis,Statistical Inference & Hypothesis Testing,Statistical Inference,"Sampling Distribution,Random Sampling,I,I.D.,Standard Error,Confidence Interval,168.8cm to 181.2cm,Degrees of Freedom","Each sample statistic has a sampling distribution. There is a sampling distribution of a sample mean, a sampling distribution of a sample proportion, a sampling distribution of a sample median, and so forth. A sampling distribution is merely a type of probability distribution. A sampling distribution specifies probabilities not for individual observations but for possible values of a statistic computed from the observations. A sampling distribution allows us to calculate, for example, probabilities about the sample proportion of individuals who voted for the Republican in an exit poll. Before the voters are selected for the exit poll, this is a variable. It has a sampling distribution that describes the probabilities of the possible values.",A sampling distribution is a type of what?,1,1,1.7142857142857135,332.7987670898437
3,533,533,Analytic Algorithms and Model Building,Text Data & Natural Language Processing,Levels of Representation in Natural Language Processing,"Phonetic and Phonological Representations,Morphological Representation,Lexeme Representation,Syntactic Representation,Semantic Representation,Pragmatics,Discourse,Representation in Neural Models","Here csawd is the main meaning carrier of the sentence. csawd has the subject ckidsd and a direct object, cbirds.d cfishd is related to cbirdsd as a prepositional object which itself is related to cwith,d which is a preposition.",cbirdsd is related to cbirdsd as a prepositional object which itself is related to what?,1,0,0.5454545454545455,213.0848693847656
4,113,113,Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.,"Figure 1. Execution Graph of a Completed Run of the Continuous Training Pipeline (ACAI, MCDS Capstone Project, 2020)",The execution of a continuous training pipeline is called what?,1,1,0.0,470.7225036621094
5,105,105,Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.,Modules And Their Relationships - How code is structured,Modules And Their Relationships - How code is structured in the code?,1,0,0.0,265.7673034667969
6,625,625,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Deep Learning Objective / Loss Functions,"Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages,Advantages,Disadvantages",Reduces the need to manually modify learning rate,Reduces the need to manually modify learning rate settings in a student's computer to make sure they're doing what?,0,0,0.1111111111111111,73.65406799316406
7,364,364,Data Science Project Planning,Requirements Gathering,Functional and Non-Functional Requirements,"Functional Requirements,Decomposing User Requirements into Functional Requirements,How can a customer perform this task within the system?,Functional Requirement for Customers (1):,Functional Requirement (2):,How will the system confirm that the billing address has been updated?,We know that a requirement must be verifiable, traceable, and unambiguous to be considered a complete requirement. The Business Analyst must ensure that these functional requirements meet the criteria for a good requirement.,Non-Functional Requirements","Performance refers to the software systems ability to meet timing requirements. When events occurinterrupts, messages, requests from users or other systems, or clock events marking the passage of timethe system, or some element of the system, must respond to them in time.","When events occur, what must the system respond to?",1,0,0.0,58.5093002319336
8,468,468,Analytic Algorithms and Model Building,Bias/Variance Tradeoff,Cross-Validation,,Reading: Cross-Validation: Python,Reading: Cross-Validation: Python is a cross-validation system that uses cross validation to determine what?,1,0,0.1428571428571428,36.35392761230469
9,309,309,Collecting and Understanding Data,Data Structures and Algorithms,Asymptotic Complexity,,"Instead, theoretical computer science has developed simple but effective mathematical tools to compare algorithms in terms of the number of relevant steps they execute as a function of the size of the input data to the algorithm. These tools are based on what is called asymptotic analysis.",The tool is based on what?,0,0,0.0,123.62580871582033
