,Unit,Module,Title,Text,Subheaders,questions,perplexity
0,Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,"Swimming pools have long been a popular means of recreation, exercise, and physical            therapy. Since it is impractical to refill large pools with fresh water on a frequent            basis, pool water is regularly treated with chemicals to prevent the growth of harmful            bacteria and algae. Proper pool maintenance requires regular additions of various            chemical compounds in carefully measured amounts. For example, the relative amount of            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium            levels, calcium cations are added to the water in the form of an ionic compound that            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in            the compound and the volume of water in the pool in order to achieve the proper calcium            level. Quantitative aspects of the composition of substances (such as the            calcium-containing compound) and mixtures (such as the pool water) are the subject of            this unit.",,what should be kept in the pool according to the text?,90.21105194091797
1,Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,"It has long been known that pure carbon occurs in different forms (allotropes) including            graphite and diamonds. But it was not until 1985 that a new form of carbon was            recognized: buckminsterfullerene, commonly known as a cbuckyball.d This molecule was            named after the architect and inventor R. Buckminster Fuller (1895), whose            signature architectural design was the geodesic dome, characterized by a lattice shell            structure supporting a spherical surface. Experimental evidence revealed the formula, C            60 , and then scientists determined how 60 carbon atoms could form one symmetric, stable            molecule. They were guided by bonding theorythe topic of this unitwhich explains            how individual atoms connect to form more complex structures.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is special about buckminsterfullerene?,104.30221557617188
2,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,"            The Crab Nebula consists of remnants of a supernova (the explosion of a                star). NASAs Hubble Space Telescope produced this composite image. Measurements                of the emitted light wavelengths enabled astronomers to identify the elements in                the nebula, determining that it contains specific ions including S+ (green                filaments) and O2+ (red filaments). (credit: modification of work by NASA and                ESA)
In 1054, Chinese astronomers recorded the appearance of a cguest stard in the sky,            visible even during the day, which then disappeared slowly over the next two years. The            sudden appearance was due to a supernova explosion, which was much brighter than the            original star. Even though this supernova was observed almost a millennium ago, the            remaining Crab Nebula continues to release energy today. It emits not only visible light            but also infrared light, X-rays, and other forms of electromagnetic radiation. The            nebula emits both continuous spectra (the blue-white glow) and atomic emission spectra            (the colored filaments). In this chapter, we will discuss light and other forms of            electromagnetic radiation and how they are related to the electronic structure of atoms.            We will also see how this radiation can be used to identify elements, even from            thousands of light years away.",,how did the scientists determine the elements in the nebula?,63.73823928833008
3,Gases,Introduction,Introduction to Gases,"We are surrounded by an ocean of gasthe atmosphereand many of the properties of gases            are familiar to us from our daily activities. Heated gases expand, which can make a hot            air balloon rise or cause a blowout in a bicycle tire left in the sun on a hot day.
Gases have played an important part in the development of chemistry. In the seventeenth            and eighteenth centuries, many scientists investigated gas behavior, providing the first            mathematical descriptions of the behavior of matter.
In this unit, we will examine the relationships between gas temperature, pressure,            amount, and volume. We will study a simple theoretical model and use it to analyze the            experimental behavior of gases. The results of these analyses will show us the            limitations of the theory and how to improve on it.",,what's the relationship between gases and air balloon?,187.3984832763672
4,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,"Solid-fuel rockets are a central feature in the worlds space exploration programs,            including the new Space Launch System being developed by the National Aeronautics and            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of            these rockets rely on carefully prepared solid mixtures of chemicals combined in            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction            that rapidly generates large amounts of gaseous products. These gases are ejected from            the rocket engine through its nozzle, providing the thrust needed to propel heavy            payloads into space. Both the nature of this chemical reaction and the relationships            between the amounts of the substances being consumed and produced by the reaction are            critically important considerations that determine the success of the technology. This            unit will describe how to symbolize chemical reactions using chemical equations, how to            classify some common chemical reactions by identifying patterns of reactivity, and how            to determine the quantitative relations between the amounts of substances involved in            chemical reactionsthat is, the reaction stoichiometry.
Adapted fromOpenstax            Chemistryunder  Creative Commons                Attribution 4.0 License.
Download for free at .",,what is the function of the solid-fuel rockets?,73.70936584472656
5,Solids and Liquids,Introduction,Introduction,"The great distances between atoms and molecules in a gaseous phase, and the corresponding            absence of any significant interactions between them, allows for simple descriptions of            many physical properties that are the same for all gases, regardless of their chemical            identities. As described in the final module on gases, this situation            changes at high pressures and low temperaturesconditions that permit the atoms and            molecules to interact to a much greater extent. In the liquid and solid states, these            interactions are of considerable strength and play an important role in determining a            number of physical properties that do depend on the chemical identity of the substance.            In this unit, the nature of these interactions and their effects on various physical            properties of liquid and solid phases will be examined.",,what is the final module on gases described in the text?,225.6806182861328
6,Solutions,Introduction,Introduction to Solutions,"Coral reefs are home to about 25% of all marine species. They are being threatened by            climate change, oceanic acidification, and water pollution, all of which change the            composition of the solution we know as seawater. Dissolved oxygen in seawater is            critical for sea creatures, but as the oceans warm, oxygen becomes less soluble. As the            concentration of carbon dioxide in the atmosphere increases, the concentration of carbon            dioxide in the oceans increases, contributing to oceanic acidification. Coral reefs are            particularly sensitive to the acidification of the ocean, since the exoskeletons of the            coral polyps are soluble in acidic solutions. Humans contribute to the changing of            seawater composition by allowing agricultural runoff and other forms of pollution to            affect our oceans.
Solutions are crucial to the processes that sustain life and to many other processes            involving chemical reactions. In this chapter, we will consider the nature of solutions,            and examine factors that determine whether a solution will form and what properties it            may have. In addition, we will discuss colloidssystems that resemble solutions but            consist of dispersions of particles somewhat larger than ordinary molecules or ions.
Adapted from Openstax Chemistry under   Creative Commons Attribution                4.0 License.
Download for free at .",,what can we conclude from the text?,31.15326499938965
7,Thermochemistry,Introduction,Introduction to Thermochemistry,"Chemical reactions, such as those that occur when you light a match, involve changes in            energy as well as matter. Societies at all levels of development could not function            without the energy released by chemical reactions. In 2012, about 85% of US energy            consumption came from the combustion of petroleum products, coal, wood, and garbage. We            use this energy to produce electricity (38%); to transport food, raw materials,            manufactured goods, and people (27%); for industrial production (21%); and to heat and            power our homes and businesses (10%). While these combustion reactions help us meet our            essential energy needs, they are also recognized by the majority of the scientific            community as a major contributor to global climate change.
Useful forms of energy are also available from a variety of chemical reactions other than            combustion. For example, the energy produced by the batteries in a cell phone, car, or            flashlight results from chemical reactions. This unit introduces many of the basic            ideas necessary to explore the relationships between chemical changes and energy, with a            focus on thermal energy.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is the major contributor to global climate change according to the text?,46.29798889160156
8,Foundations of Chemistry,Elements and Compounds,Molecular Compounds,"Many compounds do not contain ions but instead consist solely of discrete, neutral            molecules. These molecular compounds (covalent compounds) result when atoms share,            rather than transfer (gain or lose), electrons. Covalent bonding is an important and            extensive concept in chemistry, and it will be treated in considerable detail later in            this course. We can often identify molecular compounds on the basis of their physical            properties. Under normal conditions, molecular compounds often exist as gases,            low-boiling liquids, and low-melting solids, although many important exceptions            exist.
Whereas ionic compounds are usually formed when a metal and a nonmetal combine, covalent            compounds are usually formed by a combination of nonmetals. Thus, the periodic table can            help us recognize many of the compounds that are covalent. While we can use the            positions of a compounds elements in the periodic table to predict whether it is ionic            or covalent at this point in our study of chemistry, you should be aware that this is a            very simplistic approach that does not account for a number of interesting exceptions.            Shades of gray exist between ionic and molecular compounds, and youll learn more about            those later.
The bonding characteristics of inorganic molecular compounds are different from                    ionic compounds, and they are named using a different system as well. The                    charges of cations and anions dictate their ratios in ionic compounds, so                    specifying the names of the ions provides sufficient information to determine                    chemical formulas. However, because covalent bonding allows for significant                    variation in the combination ratios of the atoms in a molecule, the names for                    molecular compounds must explicitly identify these ratios.
When two nonmetallic elements form a molecular compound, several combination                    ratios are often possible. For example, carbon and oxygen can form the compounds                    CO and CO2. Since these are different substances with different                    properties, they cannot both have the same name (they cannot both be called                    carbon oxide). To deal with this situation, we use a naming method that is                    somewhat similar to that used for ionic compounds, but with added prefixes to                    specify the numbers of atoms of each element. The name of the more metallic                    element (the one farther to the left and/or bottom of the periodic table) is                    first, followed by the name of the more nonmetallic element (the one farther to                    the right and/or top) with its ending changed to the suffix ide. The numbers of                    atoms of each element are designated by the Greek prefixes shown in the table                    below.
When only one atom of the first element is present, the prefix mono- is usually                    deleted from that part. Thus, CO is named carbon monoxide, and CO2 is                    called carbon dioxide. When two vowels are adjacent, the ""a"" in the Greek prefix                    is usually dropped. Some other examples are shown in table below.
There are a few common names that you will encounter as you continue your study                    of chemistry. For example, although NO is often called nitric oxide, its proper                    name is nitrogen monoxide. Similarly, N2O is known as nitrous oxide even though                    our rules would specify the name dinitrogen monoxide. (And H2O is usually called                    water, not dihydrogen monoxide.) You should commit to memory the common names of                    compounds as you encounter them.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what can we conclude from the article?,34.639339447021484
9,Electronic Structure and Periodic Properties,Quantum Theory,Module Summary and Quiz,"Macroscopic objects act as particles. Microscopic objects (such as electrons)                    have properties of both a particle and a wave. Their exact trajectories cannot                    be determined. The quantum mechanical model of atoms describes the                    three-dimensional position of the electron in a probabilistic manner according                    to a mathematical function called a wavefunction, often denoted as . Atomic                    wavefunctions are also called orbitals. The squared magnitude of the                    wavefunction describes the distribution of the probability of finding the                    electron in a particular region in space. Therefore, atomic orbitals describe                    the areas in an atom where electrons are most likely to be found.
An atomic orbital is characterized by three quantum numbers. The principal                    quantum number, n, can be any positive integer. The general region for value of                    energy of the orbital and the average distance of an electron from the nucleus                    are related to n. Orbitals having the same value of n are said to be in the same                    shell. The angular momentum quantum number, l, can have any integer value from 0                    to n  1. This quantum number describes the shape or type of the orbital.                    Orbitals with the same principle quantum number and the same l value belong to                    the same subshell. The magnetic quantum number, ml, with 2l + 1 values ranging                    from l to +l, describes the orientation of the orbital in space. In addition,                    each electron has a spin quantum number, ms, that can be equal to . No two                    electrons in the same atom can have the same set of values for all the four                    quantum numbers.
The relative energy of the subshells determine the order in which atomic orbitals                    are filled (1s, 2s, 2p, 3s, 3p, 4s, 3d, 4p, and so on). Electron configurations                    and orbital diagrams can be determined by applying the Pauli exclusion principle                    (no two electrons can have the same set of four quantum numbers) and Hunds rule                    (whenever possible, electrons retain unpaired spins in degenerate orbitals).
Electrons in the outermost orbitals, called valence electrons, are responsible                    for most of the chemical behavior of elements. In the periodic table, elements                    with analogous valence electron configurations usually occur within the same                    group. There are some exceptions to the predicted filling order, particularly                    when half-filled or completely filled orbitals can be formed. The periodic table                    can be divided into three categories based on the orbital in which the last                    electron to be added is placed: main group elements (s and p orbitals),                    transition elements (d orbitals), and inner transition elements (f                    orbitals).
Before you take the quiz, please evaluate your understanding of the learning                    objectives for the Quantum Theory module and use the My Response link below to ask any questions you might                    have about the material that you would like the instructor to address. Your                    questions can be for clarification of the material or further insight. Your                    self-evaluation and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under Creative Commons Attribution 4.0                License.
Download for free at .",,what is a wavefunction?,82.95314025878906
