,Unit,Module,Title,Subheaders,Paragraph,Question,Key Concepts,Information Score
0,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Both the encoder and the decoder stacks form a Transformer model as described in the previous module. However, each of the two parts can be used independently too.",The decoder and the encoder are used together to create what?,"['decoder', 'part', 'encoder', 'previous', 'module', 'form', 'model', 'describe', 'stack']",0.0
1,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Encoder models use only the encoder of a Transformer model. At each stage, the attention layers can access all the words in the initial sentence. These models are often characterized as having cbi-directionald attention and are often called auto-encoding models.",These models are often characterized as having what?,"['use', 'have', 'directionald', 'encoder', 'stage', 'layer', 'access', 'initial', 'call', 'model', 'auto', 'attention', 'word', 'encoding', 'characterize', 'cbi', 'sentence']",0.0
2,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The pretraining of these models usually revolves around somehow corrupting a given sentence (for instance, by masking random words in it) and tasking the model with finding or reconstructing the initial sentence.","In contrast to the pretraining of sentences, what is the task of the model?","['mask', 'revolve', 'reconstruct', 'corrupt', 'initial', 'find', 'model', 'instance', 'give', 'random', 'word', 'task', 'pretraining', 'sentence']",0.0
3,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The pretraining of decoder models usually revolves around predicting the next word in the sentence.,What does decoder models predict?,"['decoder', 'revolve', 'predict', 'model', 'word', 'pretraining', 'sentence']",0.0
4,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,These models are best suited for tasks involving text generation.,Text generation is a part of what type of work?,"['suit', 'involve', 'model', 'text', 'generation', 'task']",0.2222222222222222
5,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Representatives of this family of models include CTRL, GPT, GPT-2.",GPT is a family of models that are modeled after what?,"['include', 'model', 'family', 'representative']",0.18181818181818182
6,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"We are now finally ready to study arguably the most famous encoder model, BERT and its variants in detail.",BERT is a model that is based on what?,"['detail', 'famous', 'study', 'ready', 'encoder', 'variant', 'model']",0.5
7,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT BASE is composed of 12 Encoder layers, 768 hidden units in the feedforward network and 12 attention heads for a total 110 million parameters.",The total amount of information in the network is how many layers?,"['parameter', 'encoder', 'layer', 'hidden', 'unit', 'network', 'attention', 'feedforward', 'compose', 'total', 'head']",0.0
8,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT LARGE is composed of 24 Encoder layers, 1024 hidden units in the feedforward network and 16 attention heads for a total of 345 million parameters.",The total number of attention heads is how many?,"['parameter', 'encoder', 'layer', 'hidden', 'unit', 'network', 'attention', 'feedforward', 'compose', 'total', 'head']",0.0
9,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"For any NLP task, BERT is generally trained in two steps:","For any NLP task, BERT is generally trained in two steps: first, what step is BERT trained in? Second, what step is BERT trained in?","['train', 'task', 'step']",0.0
10,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"First, the model is trained in a semi-supervised manner on textual data. This enables the model to develop a general sense of the language and to grasp its patterns. To build good language understanding, this step requires very large amounts of text and hence, training is resource-intensive.",The model is trained in a semi-supervised manner on what?,"['intensive', '-', 'amount', 'good', 'resource', 'training', 'model', 'supervised', 'general', 'sense', 'semi', 'understanding', 'datum', 'large', 'step', 'require', 'enable', 'language', 'train', 'text', 'textual', 'manner', 'grasp', 'develop', 'pattern', 'build']",1.3
11,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"While training, the model receives pairs of sentences as input and through this objective, it learns to predict if the second sentence in the pair is the subsequent sentence in the original document. During training, 50% of the inputs are a pair in which the second sentence is the subsequent sentence in the original document, while in the other 50% a random sentence from the corpus is chosen as the second sentence. The assumption is that the random sentence will be disconnected from the first sentence.","The model is trained to predict if the second sentence is the subsequent sentence in the original document, and if so, what else is the second sentence selected as?","['choose', 'predict', 'training', 'model', 'assumption', 'random', 'corpus', 'pair', 'receive', 'second', 'subsequent', '%', 'objective', 'disconnect', 'input', 'original', 'learn', 'document', 'sentence']",0.0
12,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Special tokens [CLS] and [SEP] are used to represent the start of the first and the second sentences in the input respectively. Output representation corresponding to the position of the [CLS] token is passed to a final classification layer (feed-forward+softmax) which predicts the likelihood of sentence B belonging with sentence A.,The final layer of the classification layer is called what?,"['output', 'pass', 'predict', 'b', 'second', 'classification', 'layer', 'likelihood', 'token', 'a.', 'special', 'correspond', 'represent', 'belong', 'input', 'final', 'feed', 'representation', 'start', 'position', 'sentence']",0.0
13,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Named Entity Recognition (NER) where the system receives a text sequence and is required to mark the various types of entities (Person, Organization, Date, etc) that appear in the text. Using BERT, a NER model can be trained by feeding the output vector of each token into a classification layer that predicts the NER label. This is similar to what we saw in MLM.",The model is trained by using what?,"['mark', 'output', 'predict', 'model', 'system', 'receive', 'sequence', 'classification', 'type', 'vector', 'layer', 'label', 'similar', 'token', 'require', 'train', 'text', 'entity', 'see', 'appear', 'feed', 'name']",0.0
