Unit,Module,Title,Subheaders,Paragraph,Generated Question,Answer_generated
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Both the encoder and the decoder stacks form a Transformer model as described in the previous module. However, each of the two parts can be used independently too.",What are the two stacks of the encoder and decoder?,Form a Transformer model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Both the encoder and the decoder stacks form a Transformer model as described in the previous module. However, each of the two parts can be used independently too.",What can each of the two parts be used independently?,Transformer model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Encoder models use only the encoder of a Transformer model. At each stage, the attention layers can access all the words in the initial sentence. These models are often characterized as having cbi-directionald attention and are often called auto-encoding models.",What model uses only the encoder of a Transformer model?,Encoder model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Encoder models use only the encoder of a Transformer model. At each stage, the attention layers can access all the words in the initial sentence. These models are often characterized as having cbi-directionald attention and are often called auto-encoding models.",What are the attention layers able to access at each stage of the first sentence?,All the words
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The pretraining of these models usually revolves around somehow corrupting a given sentence (for instance, by masking random words in it) and tasking the model with finding or reconstructing the initial sentence.",What does the pretraining of these models usually revolve around?,corrupting a given sentence
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The pretraining of these models usually revolves around somehow corrupting a given sentence (for instance, by masking random words in it) and tasking the model with finding or reconstructing the initial sentence.",What does masking random words in a given sentence do?,corrupt the sentence
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Encoder models are best suited for tasks requiring an understanding of the full sentence, such as sentence classification, named entity recognition (and more generally, word classification), and extractive question answering.",What type of model is best suited for tasks that require an understanding of the full sentence?,encoder
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Encoder models are best suited for tasks requiring an understanding of the full sentence, such as sentence classification, named entity recognition (and more generally, word classification), and extractive question answering.",What is the name of a given entity?,Word Classification
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Representatives of this family of models include BERT, ALBERT, RoBERTa.","What type of model is BERT, ALBERT, RoBERTa?",Family
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Decoder models use only the decoder of a Transformer model. At each stage, for a given word the attention layers can only access the words positioned before it in the sentence. These models are often called auto-regressive models.",What type of model uses only the decoder of a Transformer model?,Decoder model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Decoder models use only the decoder of a Transformer model. At each stage, for a given word the attention layers can only access the words positioned before it in the sentence. These models are often called auto-regressive models.",What can only access the words positioned before a given word in a sentence?,Attention layers
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The pretraining of decoder models usually revolves around predicting the next word in the sentence.,What is the pretraining of decoder models usually revolves around?,predicting the next word in the sentence
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The pretraining of decoder models usually revolves around predicting the next word in the sentence.,What type of model is used to predict the next word in the sentence?,Decoder model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,These models are best suited for tasks involving text generation.,What types of models are best suited for tasks involving text generation?,Types of models
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,These models are best suited for tasks involving text generation.,What is the best way to use text generation models?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Representatives of this family of models include CTRL, GPT, GPT-2.","What type of model does CTRL, GPT, and GPT-2 represent?",Family
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"We are now finally ready to study arguably the most famous encoder model, BERT and its variants in detail.",What is the name of the encoder model that we are ready to study?,BERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"We are now finally ready to study arguably the most famous encoder model, BERT and its variants in detail.",What is BERT?,Encoder model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"One of the latest milestones in NLP is the release of BERT (Bidirectional Encoder Representations from Transformers), an event described as marking the beginning of a new era in NLP. It achieved state-of-the-art performance on several language tasks.",What is the name of the event that marks the beginning of a new era in NLP?,BERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"One of the latest milestones in NLP is the release of BERT (Bidirectional Encoder Representations from Transformers), an event described as marking the beginning of a new era in NLP. It achieved state-of-the-art performance on several language tasks.",What is BERT called?,Bidirectional Encoder Representations from Transformers
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT makes use of the Transformer architecture. In its vanilla form, a transformer includes two separate mechanisms  an encoder that reads the text input and a decoder that produces a prediction for the task. Since BERTs goal is to generate a language model, only the encoder mechanism is necessary. In other words, BERT is basically a trained transformer encoder stack.",What does BERT use in its vanilla form?,The Transformer architecture.
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT makes use of the Transformer architecture. In its vanilla form, a transformer includes two separate mechanisms  an encoder that reads the text input and a decoder that produces a prediction for the task. Since BERTs goal is to generate a language model, only the encoder mechanism is necessary. In other words, BERT is basically a trained transformer encoder stack.",What is BERT's goal to generate a language model?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT makes use of the Transformer architecture. In its vanilla form, a transformer includes two separate mechanisms  an encoder that reads the text input and a decoder that produces a prediction for the task. Since BERTs goal is to generate a language model, only the encoder mechanism is necessary. In other words, BERT is basically a trained transformer encoder stack.",BERT is basically what?,Transformer encoder stack
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"As opposed to directional models, which read the text input sequentially (left-to-right or right-to-left), the transformer encoder reads the entire sequence of words at once. Therefore it is considered bidirectional, though it would be more accurate to say that its non-directional. This characteristic allows the model to learn the context of a word based on all of its surroundings (left and right of the word). The fundamental units which enable the ability to comprehend the entire context of input without treating it like a sequence are made possible by the mechanism of attention. Attention is a mechanism that can be described as mapping a query and a set of key-value pairs to an output, where the query, keys, values, and output are all vectors. The output is computed as a weighted sum of the values, where the weight assigned to each value is computed by a compatibility function of the query with the corresponding key. Transformer models use multi-head attention to efficiently capture the context and relative importance of input sequence and also enable parallelization of model training.",What is a mechanism that can be described as mapping a query and a set of key-value pairs to an output?,Attention
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"As opposed to directional models, which read the text input sequentially (left-to-right or right-to-left), the transformer encoder reads the entire sequence of words at once. Therefore it is considered bidirectional, though it would be more accurate to say that its non-directional. This characteristic allows the model to learn the context of a word based on all of its surroundings (left and right of the word). The fundamental units which enable the ability to comprehend the entire context of input without treating it like a sequence are made possible by the mechanism of attention. Attention is a mechanism that can be described as mapping a query and a set of key-value pairs to an output, where the query, keys, values, and output are all vectors. The output is computed as a weighted sum of the values, where the weight assigned to each value is computed by a compatibility function of the query with the corresponding key. Transformer models use multi-head attention to efficiently capture the context and relative importance of input sequence and also enable parallelization of model training.",What is the output computed as a weighted sum of the values?,
