Unit,Module,Title,Text,Subheaders
Deep Learning and Model Deployment,Model Deployment,Quiz 10,,
Data Science Project Planning,Developing a Vision,Module 4 Summary,"This module focuses on the foundation of a documentation set which is the vision document. This document not only provides a summary of the project but also clears up any confusion and ensures that you, your colleagues, and others are all on the same page.
The project's high-level scope and purpose are represented in the vision document. It is essential as it introduces the domain of the problem that needs to be addressed and provides a rough timeline of the tasks involved in achieving this objective.
To develop a vision for the project, the project team develops a vision document and related artifacts. The vision defines the high-level objective of the entire project and presents clarity with respect to the problem statement, scientific hypothesis, and scope of the proposed solution.
Different components of the vision document aim to answer questions such as: What is the real-world problem that you are trying to address? How do you come up with an overarching framework for your proposed solution? If working on a technical data science solution, one can formulate your hypothesis along with one of the following themes: Is it possible to build such a framework? Is the proposed solution cfast /good enoughd? Can the proposed solution significantly outperform the state-of-the-art baseline measured by a certain metric?
Next, the vision document focuses on the traceability part of the solution by highlighting the system features you plan to implement from the proposed solution to the problem. Finally, the scope will outline the boundaries of your project, with a focus on what will be delivered at the end of the project timeline.",
Analytic Algorithms and Model Building,Model Selection,Model Selection for Prediction,"To replicate the setting of performing prediction on unseen data, we can reserve a random portion of our dataset for testing and only use the remaining data for training. The model selection procedure can then be expressed as follows:
Input: candidate models M1, M2, , Ml
Procedure:
Split the dataset into train set and test set.
For each candidate model Mi:
(i) Train Mi on the train set.
(ii) Evaluate Mis performance on the test set
Output: the model Mj with the best performance on the test set.
If hyperparameter tuning is also part of the model selection process, the train set can be further split into a train subset and validation subset.
Input: candidate models M1, M2, , Ml and hyperparameter space S.
Procedure:
Split the dataset into train subset, validation subset and test set.
For each candidate model Mi:
(i) Pick the hyperparameters that give the best performance on the validation subset when Mi is trained on the train subset. We call these the best hyperparameters.
(ii) Retrain a new model Mi using the best hyperparameters on the combined data from the train subset and validation subset.
(iii) Evaluate Mis performance on the test set.
Output: the model Mj and the associated best hyperparameters with the best performance on the test set.
Here we note that step (i) can be performed by iterating through all possible hyperparameter values in the space S (grid search) if S is finite and computational resources are not a problem. Alternatively, we could sample the hyperparameter values uniformly from S (random search). When there are multiple hyperparameters, random search is preferred because it allows us to explore distinct values for each hyperparameter at each trial.
While the above procedure is sufficient to demonstrate the prediction of a  models validity, it relies on only two random splits, which may skew the model selection outcome if we get a bad split (e.g., if most of the outliers happen to be in the test set). A more rigorous alternative is to perform k-fold cross-validation as in the inner loop of the model selection procedure.
Input: number of folds K, candidate models M1, M2, , Ml and hyperparameter space S.
Procedure:
Split the dataset into train set and test set. Split the train set into K folds.
For each candidate model Mi:
(i) Pick the hyperparameters that give the best cross-validated performance for Mi on the train set. We call these the best hyperparameters.
(ii) Retrain a new model Mi using the best hyperparameters on the train set.
(iii) Evaluate Mis performance on the test set.
Output: the model Mj and the associated best hyperparameters with the best performance on the test set.",
Data Science Project Planning,Requirements Gathering,Successful Requirements Gathering,"The requirements gathering process is not linear. It is important to consider an evaluation at each step of the process. Doing this will ensure that errors are identified and fixed early, as it can be costly and time-consuming for errors to go undetected. However, it is a best practice to conduct validation and verification exercises for your requirements after they have been defined. It is important to confirm that requirements meet the needs of the business and users, and the requirements can be traced back to the defined business and analytic objectives.
Requirements should be validated to ensure that they are complete, correct, traceable, verifiable, and testable. It seems logical to perform validation when the solution has been developed but before it is delivered to the client. This is because you can test the actual solution. But what happens when you find errors that require the project team to start from the beginning of the development process? Time and money have been wasted! This grave mistake can be avoided if previously defined requirements are validated.
Validating requirements will most likely involve testing without implementation, but one should remember that the project team will also validate and verify the requirements throughout the solution development process. Validating requirements at this stage will ensure that solution developers will produce the right deliverables and save project time and cost.
Requirements can be validated by following the steps below:
Review requirements. The requirements management plan will be peer-reviewed to identify that each documented requirement is verifiable and unambiguous. The peer-review process should be well-defined so that reviewers can discuss their interpretations of requirements. This will reveal any ambiguity. The reviewers will produce a summary of the defects document. This document will be used by the business analyst and project team to revise requirements.
Prototype requirements. Prototyping can help the project and client team determine if the requirements can be considered complete. Simulations are a popular prototyping technique, but at this stage of solution development, creating simulations will be time-consuming. There are less time-consuming prototyping techniques that can help validate requirements. Proof-of-concept (POC) prototypes and paper mockups can be used to demonstrate the feasibility and completeness of requirements.
Test requirements. Requirements can be validated by users. Acceptance tests are done to assess whether a solution will meet predefined criteria called acceptance criteria. Acceptance criteria are set by end-users of the solution. A project team might worry about the users' inability to define the acceptance criteria. The project team can guide users in thinking about how the solution meets their needs. Acceptance criteria can be defined using the S.M.A.R.T goals. Once acceptance criteria are set, users can conduct acceptance tests.
A successful requirements gathering exercise is not yet deemed successful when the activities in the requirements management plan have been completed. After the results of the requirements gathering process have been documented and validated, a formal sign-off will confirm that all parties approve and accept the defined requirements. This is a signal that the project team can officially begin developing a solution/solutions.",Validating Requirements
Exploratory Data Analysis,Feature Engineering,t-SNE,"In the last section, we explored Principal Component Analysis (PCA) as a dimensionality reduction technique to provide a low-dimensional representation of data through a linear transformation (a fancy term for multiplying by a matrix). While it is quite useful for tabular data, it is not always the best tool for the job, particularly as it requires us to preserve all pairs of distances between different data points. This leads to potentially poor performance when data tend to be clusters or classes, where we know the distance between neighbors might be much more important than the distance between data points cfartherd apart. Lets consider MNIST, a well-known digit recognition dataset. We can apply PCA to the dataset to get the following visualization:
Source: https://ryanwingate.com/intro-to-machine-learning/unsupervised/pca-on-mnist/
As we can see, while some groups are visible, most of the digits are clumped together, making them really hard to distinguish. Given that MNIST has 10 distinct classes, what we would like is an algorithm that lets us differentiate between local distances and global distances a little better to make classes more visible.
Enter t-distributed stochastic neighbor embedding or t-SNE. t-SNE is a popular statistical dimensionality reduction technique that is primarily used for the visualization of clusters of points in higher dimensions. t-SNE was introduced originally as a stochastic neighbor embedding method in 2002 by Geoffrey Hinton and Sam Roweis, and the t-distribution modification was introduced as an improvement over the original method in 2008 by Laurens van der Maaten and Geoffrey Hinton. Practically speaking, it is a really important technique, as it allows us to achieve non-linear embeddings of our data.
How t-SNE works is that it tries to model the distribution of points in the higher-dimensional space as a set of Gaussian distributions, where we define the probability of some data point i picking another point j to be neighbors through the following equation:
\\[ p_{j \\mid i}=\\frac{\\exp \\left(-\\left\\|\\mathbf{x}_i-\\mathbf{x}_j\ight\\|^2 / 2 \\sigma_i^2\ight)}{\\sum_{k \eq i} \\exp \\left(-\\left\\|\\mathbf{x}_i-\\mathbf{x}_k\ight\\|^2 / 2 \\sigma_i^2\ight)} \\]
(If youre familiar with deep learning, you might notice the similarities between this method and the softmax function. Its also important to note that the distance function here is more of a suggestion, and you can use any custom distance function you want with most t-SNE implementations).
After creating this high-dimensional model, we then optimize a low-dimensional embedding, with the lower-dimensional embedding using a t-distribution instead with the following similarity function:
\\[ q_{i j}=\\frac{\\left(1+\\left\\|\\mathbf{y}_i-\\mathbf{y}_j\ight\\|^2\ight)^{-1}}{\\sum_k \\sum_{l \eq k}\\left(1+\\left\\|\\mathbf{y}_k-\\mathbf{y}_l\ight\\|^2\ight)^{-1}} \\]
By minimizing the distance between these distributions, we can get a good lower-dimensional embedding for our high-dimensional data, thus allowing us to see a cgood enoughd representation of the potential internal clustering of the data. While we can use multiple distance functions between distributions, we tend to use KL-divergence as it is relatively easy to optimize and relatively easy to intuit. Effectively, it tells us that two distributions are different if they associate largely different probabilities with the same data. By minimizing this, we can ensure that our lower-dimensional embedding roughly approximates the high-dimensional data.
If we go to our MNIST example, using t-SNE gets us the following results, which make the clusters a lot easier to see:
Overall, t-SNE can be a far better visualization tool than PCA. However, it is very important to know the limitations of any new tool you consider for data science, especially data visualization. Given that visualizations can be misleading, it is important to treat a potentially better tool with skepticism.
In the case of t-SNE, the problem lies in the optimization process. Firstly, it is important to note that there are several parameters to the algorithm which need to be carefully considered in order to get good results out of the algorithm. The most important parameter is known as the perplexity, and this roughly is the number of neighbors you want to consider as cclosed to any data point. Larger datasets require larger perplexity, but too large of perplexity can remove the presence of any potential clusters, as you can see in the following example:
Secondly, note that it is important to not really think too much about the distances between clusters and the relative size of any clusters reported. Given that t-SNE is stochastic, the distances between points tend to mean very little, if anything, and instead, it is important to look at the data in its entirety.
Thirdly, it is important to note that t-SNE is sensitive to data scaling. Applying a standard scalar or another scaling system is important to get interpretable results, as otherwise, certain features will be scaled in a very different manner than any other.
Lastly, and most importantly, t-SNE is random. As the loss function is non-convex, different initializations can lead to different visualizations. Treat t-SNE as an exploratory tool more than anything, and do not make the mistake of trying to use it ahead of classification. Should you want to use a non-linear technique in this manner, consider looking into other tools like UMAP instead.
Hinton, G. E., & Roweis, S. (2002). Stochastic Neighbor Embedding. In S. Becker, S. Thrun, & K. Obermayer (Eds.), Advances in Neural Information Processing Systems (Vol. 15). Retrieved from https://proceedings.neurips.cc/paper/2002/file/6150ccc6069bea6b5716254057a194ef-Paper.pdf
Maaten, L.van der and Hinton, G. (2008) Visualizing data using T-Sne, Journal of Machine Learning Research. Available at: https://jmlr.org/papers/v9/vandermaaten08a.html
van der Maaten, L. (2014). Accelerating t-SNE using Tree-Based Algorithms. Journal of Machine Learning Research, 15(93), 3221. Retrieved from http://jmlr.org/papers/v15/vandermaaten14a.html",References:
Collecting and Understanding Data,Sparse Matrix,Introduction to Sparse Matrices,"A matrix (2D array) is a common data structure that encodes the relationship between elements stored in rows and columns. For example, a movie review site may store the rating history of its users in a matrix, where the cell at row i and column j is the rating score of user i for movie j. While this information can also be stored in a database-style table where every row contains the user id, movie id, and corresponding score rating, the matrix format allows for more complex computations over the entire rating data. As you will see in Project 2, an example of such computations is using least-square errors to build a recommendation system (i.e., given a users movie rating history, which movie would they want to watch next?)
However, the disadvantage of the matrix format is that matrices can be very sparse in certain domains. Here sparsity refers to the fact that the majority of entries are unknown or missing. In the example above, every user is only able to watch and rate only a very small portion of the entire movie catalog, so most cells in the matrix would be empty. In general, if the number of non-empty cells is roughly equal to or lower than the number of rows or columns in a matrix (e.g., if a 5 x 5 matrix only has about 5 non-empty cells), this matrix is considered sparse (although this is not a hard-and-fast rule).
Empty cells can be assigned a placeholder value, such as 0 (if the data is assumed to be positive) or null/NaN (if the data is assumed to be signed). In either case, the primary issue is that sparsity leads to a waste of memory  and computational resources:
The placeholder values still consume actual memory. For example, storing a 10000 x 10000 sparse matrix of integers takes about 381MB, even if most entries are 0 and do not carry actual meaning.  There is no point in representing data that does not exist!
Many computations on sparse matrices yield trivial results due to addition/subtraction or multiplication with 0s; however, they still need to be carried out by the computer.
Alternate matrix representations have been devised to reflect the underlying sparsity and avoid the above issues. In this module, we will introduce a number of approaches, along with their mechanisms, strengths, and weaknesses. Then, we provide general pointers to applications of sparse matrices in different areas of data science and machine learning.",
Analytic Algorithms and Model Building,Bias/Variance Tradeoff,Regularization,"The ultimate goal of any supervised machine learning problem is to find a model or function that predicts a target or label and minimizes the expected error over all possible inputs and labels. Minimizing error over all possible inputs means the function must be able to generalize and make accurate predictions on unseen inputs. In other words, the fundamental goal of machine learning is for the algorithm to generalize beyond the training sets.
Regularization is a general approach to help select a balanced model to trade off between a high bias and a high variance. This ideal goal of generalization in terms of bias and variance is a low bias and a low variance which is near impossible or difficult to achieve,  hence, the need for the trade-off to minimize the model's total error.
There are three popular regularization techniques, each of them aiming at decreasing the total size of the parameters of the model (e.g., coefficients in a regression):
Ridge Regression, which penalizes the sum of squares of the coefficients (L2 penalty).
Lasso Regression, which penalizes the sum of absolute values of the coefficients (L1 penalty).
Elastic Net, a convex combination of Ridge and Lasso.
L1 and L2 Regularizations.",
Analytic Algorithms and Model Building,Model Selection,Module 18 Summary,This is a new page with empty contents.,
Model Evaluation,[Research Paper] Manipulating and Measuring Model Interpretability,Manipulating and Measuring Model Interpretability,"[Required Reading] Paper: Poursabzi-Sangdeh, F., Goldstein, D. G., Hofman, J. M., Wortman Vaughan, J. W., & Wallach, H. (2021, May). Manipulating and measuring model interpretability. In Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems (pp. 1-52). (Requires CMU credentials to access)
The first author is a Senior Program Manager who studies AI and ethics in research and engineering. The remaining authors are affiliated with the Computational Social Science research group at Microsoft, which studies how to help laypeople (e.g., users of Microsoft products) make sense of numerical data.
The paper is targeting ML researchers and practitioners who build machine learning systems that interact with the end-user.
Machine learning models are increasingly used to aid decision-making in high-stakes domains and to influence peoples everyday decisions. However, people are reluctant to use these models due to concerns about their underlying mechanisms and fairness. In response, a prolific line of research on machine learning interpretability has emerged. This paper is one such research work.
The paper contributes a novel perspective that interpretability is a latent property that cannot be directly measured. However, it can be influenced by measurable properties and has a measurable influence on peoples behavior.
This perspective addresses the existing lack of consensus on the definition of interpretability in current literature. In addition, the paper reports an unintuitive result that clear models with fewer features are not better than complex or black-box models in their ability to help people make beneficial decisions or detect errors.
The overall experimental procedure is to various factors that may influence a models interpretability and measure their effect on peoples behaviors, with a focus on the following aspects:
RQ1: How well can people simulate a models prediction?
RQ2: To what extent do people follow a models prediction when its beneficial for them to do so?
RQ3: How well can people detect when a model has made a mistake and correct it?
The primary task in each experiment is to predict the price of apartments in New York City, with the help of a linear regression model. The study participants always have access to all 8 features in the dataset, but they may see a clear model (with explanations on how the prediction is derived) or a black-box model (with no such explanations). In addition, the models shown to the participant may have 2 or 8 features, thereby allowing for a 2 x 2 experiment setting (clear vs black-box and 2-feature vs 8-feature).
For each of the 12 apartment data points used in the study, participants were first shown its configuration (i.e., feature values) alongside the model (whose internals were either clear or black box) and were asked to guess what the model would predict for the apartments selling price. They were then shown the models prediction and asked for their own prediction of the apartments selling price. For RQ1, the authors measured the difference between peoples guesses of the models prediction and the actual prediction result. For RQ2, the authors measured the extent to which people deviated from the models prediction in their guess for the apartments ground-truth selling price. RQ3 used the same metric as in RQ2 but only applied to the last 2 apartments which had unusual configurations (such as 3 bathrooms squeezed into 726 square feet) and which the ML models made prediction mistakes.
Based on the papers findings:
A clear model with a smaller number of features was easiest for participants to simulate.
There were no significant differences in the participants trust of the models across the 4 experimental conditions. Participants did not trust the clear model with 2 features more than the black-box model with 8 features.
When participants see unusual examples, they are less likely to correct inaccurate predictions made by clear models than by black-box models. In other words, too much transparency can be harmful, possibly due to cognitive overload.
There are two important takeaways from the paper:
Machine learning interpretability is not purely a computational problem. An interdisciplinary approach is needed, and a human-centered focus is likely the key.
Intuition alone is not sufficient to interpret models. More empirical studies that cover a wider range of domain models, factors, and outcomes are needed.","Who are the papers' authors? Why are they qualified to write about this topic?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings? What can an outsider like us expect to learn from this paper?"
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Introduction to Deep Learning,"A few samples of completely fake faces generated by a generative adversarial network (GAN). Source: ThisPersonDoesNotExist.com
Deep learning applications have been widespread in recent years with the increasing availability of data and compute resources. Deep learning is an area of machine learning that draws inspiration from how the human brain functions as a model of computation. Like most machine learning algorithms, deep learning also involves a transformation of data from an input to an output: for example, using speech samples as inputs to predict the speaker or taking some text in one language and translating the text into another language. As the problem becomes more and more complex, classical machine learning approaches fail to adequately learn such transformation or mapping of input to output from the data. Deep learning algorithms overcome this using many successive transformations of input data, thus the deep in deep learning.
At a very high-level abstraction, we can view neurons as aggregating signals from their inputs and sending processed signals to their outputs. Such input signals can be visual signals detected by the retina or acoustic signals detected by the ear. Again at an abstract level, the neuron can be considered computing a weighted summation of the inputs weighing each input by a synaptic weight and doing a final non-linear transformation on the sum.
Inspired by this, neural networks consist of neurons that are connected to each other via weights. Each neuron receives weighted inputs from neurons in the previous layer, these are summed and passed through a nonlinearity function, commonly called the activation function, and the resulting output is passed on to neurons in the next layer, again, connected with some weight. The deep nature of deep neural networks refers to having a very large number of layers of such connected neurons.
In this module, we discuss some of the key concepts in deep learning.",
