,Unnamed: 0,File_name,Concepts,Questions
0,0,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is",Why do atoms gain or lose electrons to form ions with particularly stable electron configurations?
1,1,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", What determines the charges of cations formed by the representative metals?
2,2,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", When do the charges of anions formed by the nonmetals become readily determined?
3,3,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", How do covalent bonds form?
4,4,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", What happens to the electrons in pure covalent bonds?
5,5,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", Why are electrons shared unequally in polar covalent bonds?
6,6,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", How is the ability of an atom to attract a pair of electrons in a chemical bond defined?
7,7,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", What determines how polar a bond will be?
8,8,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is", Why is the bond nonpolar or pure covalent in a diatomic molecule with two identical atoms?
9,9,/content/x-oli-workbook_page/p7_bonding_summary.xml," Atoms gain or lose electrons to form ions with particularly stable electron configurations., The charges of cations formed by the representative metals may be determined readily because, with few exceptions, the electronic structures of these ions have either a noble gas configuration or a completely filled electron shell., The charges of anions formed by the nonmetals may also be readily determined because these ions form when nonmetal atoms gain enough electrons to fill their valence shells., Covalent bonds form when electrons are shared between atoms and are attracted by the nuclei of both atoms., In pure covalent bonds, the electrons are shared equally., In polar covalent bonds, the electrons are shared unequally, as one atom exerts a stronger force of attraction on the electrons than the other., The ability of an atom to attract a pair of electrons in a chemical bond is called its electronegativity., The difference in electronegativity between two atoms determines how polar a bond will be., In a diatomic molecule with two identical atoms, there is no difference in electronegativity, so the bond is nonpolar or pure covalent.,. When the electronegativity difference is",. How does the electronegativity difference affect the bonding between metals and nonmetals?
