Unit,Module,Title,Text,Subheaders
Composition of Substances and Solutions,Introduction,Introduction to Composition of Substances and Solutions,"Swimming pools have long been a popular means of recreation, exercise, and physical\n            therapy. Since it is impractical to refill large pools with fresh water on a frequent\n            basis, pool water is regularly treated with chemicals to prevent the growth of harmful\n            bacteria and algae. Proper pool maintenance requires regular additions of various\n            chemical compounds in carefully measured amounts. For example, the relative amount of\n            calcium ion, Ca2+, in the water should be maintained within certain limits to prevent\n            eye irritation and avoid damage to the pool bed and plumbing. To maintain proper calcium\n            levels, calcium cations are added to the water in the form of an ionic compound that\n            also contains anions; thus, it is necessary to know both the relative amount of Ca2+ in\n            the compound and the volume of water in the pool in order to achieve the proper calcium\n            level. Quantitative aspects of the composition of substances (such as the\n            calcium-containing compound) and mixtures (such as the pool water) are the subject of\n            this unit.",
Chemical Bonding and Molecular Geometry,Introduction,Introduction to Chemical Bonding and Molecular Geometry,"It has long been known that pure carbon occurs in different forms (allotropes) including\n            graphite and diamonds. But it was not until 1985 that a new form of carbon was\n            recognized: buckminsterfullerene, commonly known as a cbuckyball.d This molecule was\n            named after the architect and inventor R. Buckminster Fuller (1895), whose\n            signature architectural design was the geodesic dome, characterized by a lattice shell\n            structure supporting a spherical surface. Experimental evidence revealed the formula, C\n            60 , and then scientists determined how 60 carbon atoms could form one symmetric, stable\n            molecule. They were guided by bonding theorythe topic of this unitwhich explains\n            how individual atoms connect to form more complex structures.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Electronic Structure and Periodic Properties,Introduction ,Electronic Structure and Periodic Properties Introduction,"\n            The Crab Nebula consists of remnants of a supernova (the explosion of a\n                star). NASAs Hubble Space Telescope produced this composite image. Measurements\n                of the emitted light wavelengths enabled astronomers to identify the elements in\n                the nebula, determining that it contains specific ions including S+ (green\n                filaments) and O2+ (red filaments). (credit: modification of work by NASA and\n                ESA)\n
In 1054, Chinese astronomers recorded the appearance of a cguest stard in the sky,\n            visible even during the day, which then disappeared slowly over the next two years. The\n            sudden appearance was due to a supernova explosion, which was much brighter than the\n            original star. Even though this supernova was observed almost a millennium ago, the\n            remaining Crab Nebula continues to release energy today. It emits not only visible light\n            but also infrared light, X-rays, and other forms of electromagnetic radiation. The\n            nebula emits both continuous spectra (the blue-white glow) and atomic emission spectra\n            (the colored filaments). In this chapter, we will discuss light and other forms of\n            electromagnetic radiation and how they are related to the electronic structure of atoms.\n            We will also see how this radiation can be used to identify elements, even from\n            thousands of light years away.",
Gases,Introduction,Introduction to Gases,"We are surrounded by an ocean of gasthe atmosphereand many of the properties of gases\n            are familiar to us from our daily activities. Heated gases expand, which can make a hot\n            air balloon rise or cause a blowout in a bicycle tire left in the sun on a hot day.
Gases have played an important part in the development of chemistry. In the seventeenth\n            and eighteenth centuries, many scientists investigated gas behavior, providing the first\n            mathematical descriptions of the behavior of matter.
In this unit, we will examine the relationships between gas temperature, pressure,\n            amount, and volume. We will study a simple theoretical model and use it to analyze the\n            experimental behavior of gases. The results of these analyses will show us the\n            limitations of the theory and how to improve on it.",
Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,"Solid-fuel rockets are a central feature in the worlds space exploration programs,\n            including the new Space Launch System being developed by the National Aeronautics and\n            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of\n            these rockets rely on carefully prepared solid mixtures of chemicals combined in\n            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction\n            that rapidly generates large amounts of gaseous products. These gases are ejected from\n            the rocket engine through its nozzle, providing the thrust needed to propel heavy\n            payloads into space. Both the nature of this chemical reaction and the relationships\n            between the amounts of the substances being consumed and produced by the reaction are\n            critically important considerations that determine the success of the technology. This\n            unit will describe how to symbolize chemical reactions using chemical equations, how to\n            classify some common chemical reactions by identifying patterns of reactivity, and how\n            to determine the quantitative relations between the amounts of substances involved in\n            chemical reactionsthat is, the reaction stoichiometry.
Adapted fromOpenstax\n            Chemistryunder  Creative Commons\n                Attribution 4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Solids and Liquids,Introduction,Introduction,"The great distances between atoms and molecules in a gaseous phase, and the corresponding\n            absence of any significant interactions between them, allows for simple descriptions of\n            many physical properties that are the same for all gases, regardless of their chemical\n            identities. As described in the final module on gases, this situation\n            changes at high pressures and low temperaturesconditions that permit the atoms and\n            molecules to interact to a much greater extent. In the liquid and solid states, these\n            interactions are of considerable strength and play an important role in determining a\n            number of physical properties that do depend on the chemical identity of the substance.\n            In this unit, the nature of these interactions and their effects on various physical\n            properties of liquid and solid phases will be examined.",
Solutions,Introduction,Introduction to Solutions,"Coral reefs are home to about 25% of all marine species. They are being threatened by\n            climate change, oceanic acidification, and water pollution, all of which change the\n            composition of the solution we know as seawater. Dissolved oxygen in seawater is\n            critical for sea creatures, but as the oceans warm, oxygen becomes less soluble. As the\n            concentration of carbon dioxide in the atmosphere increases, the concentration of carbon\n            dioxide in the oceans increases, contributing to oceanic acidification. Coral reefs are\n            particularly sensitive to the acidification of the ocean, since the exoskeletons of the\n            coral polyps are soluble in acidic solutions. Humans contribute to the changing of\n            seawater composition by allowing agricultural runoff and other forms of pollution to\n            affect our oceans.
Solutions are crucial to the processes that sustain life and to many other processes\n            involving chemical reactions. In this chapter, we will consider the nature of solutions,\n            and examine factors that determine whether a solution will form and what properties it\n            may have. In addition, we will discuss colloidssystems that resemble solutions but\n            consist of dispersions of particles somewhat larger than ordinary molecules or ions.
Adapted from Openstax Chemistry under   Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Thermochemistry,Introduction ,Introduction to Thermochemistry,"Chemical reactions, such as those that occur when you light a match, involve changes in\n            energy as well as matter. Societies at all levels of development could not function\n            without the energy released by chemical reactions. In 2012, about 85% of US energy\n            consumption came from the combustion of petroleum products, coal, wood, and garbage. We\n            use this energy to produce electricity (38%); to transport food, raw materials,\n            manufactured goods, and people (27%); for industrial production (21%); and to heat and\n            power our homes and businesses (10%). While these combustion reactions help us meet our\n            essential energy needs, they are also recognized by the majority of the scientific\n            community as a major contributor to global climate change.
Useful forms of energy are also available from a variety of chemical reactions other than\n            combustion. For example, the energy produced by the batteries in a cell phone, car, or\n            flashlight results from chemical reactions. This unit introduces many of the basic\n            ideas necessary to explore the relationships between chemical changes and energy, with a\n            focus on thermal energy.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Foundations of Chemistry,Measurements,Application: Is it Gold? (cont.),,"The following series of activities incorporates the concepts from this module into a\n            real-world scenario.,Emilio has found several nuggets while on a gold expedition. Based on observation\n                   he is fairly certain that some of the nuggets are in fact gold. He decides he\n                   will find the density of several of these nuggets to see if they match the\n                   density of gold, 19.3 g/mL.,Emilio has two containers that he could possibly use for the water displacement,\n                    a 50-mL graduated cylinder and a 100-mL beaker as pictured below."
Electronic Structure and Periodic Properties,Quantum Theory,Extra Practice: Quantum Theory,,
