,source,target,edge
0,Swimming pools,popular  recreation,been
1,frequent pool water,harmful  bacteria,treated with
2,Proper pool maintenance,measured chemical amounts,requires regular
3,relative  amount,certain pool bed,maintained within certain
4,thus  it,proper calcium level,is necessary
5,Quantitative  aspects,such pool unit,are
6,pure  carbon,different  graphite,known
7,architectural R. Buckminster design,spherical lattice shell surface,named after
8,60 carbon atoms,stable  molecule,revealed
9,individual  atoms,complex  structures,guided by
10,,4.0 Creative Commons License,Adapted from
11,,,Download for free
12,Crab Nebula,star,consists of
13,Hubble Space Telescope,composite  image,produced
14,light  it,specific  S+,enabled
15,even cguest which,two  years,recorded
16,supernova which,original  star,was due
17,remaining Crab Nebula,energy,continues
18,It,electromagnetic  radiation,emits
19,nebula,continuous  spectra,emits
20,how  they,electronic  atoms,discuss
21,how  radiation,light  years,see
22,gasthe many,daily  activities,surrounded by
23,which,hot bicycle day,expand
24,Gases,important  chemistry,played
25,many  scientists,mathematical gas matter,investigated
26,we,gas temperature,examine
27,We,experimental  gases,study
28,results,how  it,show
29,Solid fuel rockets,retired Space Shuttle fleet,are
30,engines,measured  amounts,rely on
31,vigorous chemical that,gaseous  products,initiates
32,gases,heavy rocket space,ejected from
33,important  that,technology,are
34,unit,quantitative reaction stoichiometry,describe
35,,,Attribution
36,,,Download for free
37,physical  that,regardless chemical identities,allows for simple
38,low  that,greater  extent,changes at high
39,physical  that,chemical substance,are of considerable
40,nature,liquid  phases,examined
41,Coral  reefs,marine  species,are
42,we,seawater,threatened by
43,oxygen,sea creatures,is
44,concentration,oceanic oceans acidification,concentration of
45,particularly  exoskeletons,acidic  solutions,are
46,agricultural seawater runoff,other  oceans,contribute to
47,that,other chemical reactions,are crucial
48,it,properties,consider
49,that,ordinary  molecules,discuss
50,,4.0 Creative Commons License,Adapted from
51,,,Download for free
52,when  you,energy,involve
53,Societies,chemical  reactions,function
54,85  %,petroleum products,came from
55,We,21  homes,use
56,essential energy they,global climate change,recognized by
57,Useful  forms,other chemical combustion,are
58,,chemical cell reactions,energy
59,unit,thermal chemical energy,introduces many
60,,4.0 Creative Commons License,Adapted from
61,,,Download for free
62,Many  compounds,neutral  molecules,contain
63,when covalent atoms,rather  electrons,result
64,important  it,later  course,is
65,We,physical  properties,identify molecular
66,important  exceptions,often  gases,exist as
67,when  metal,usually covalent nonmetals,formed
68,that,compounds,help
69,simplistic  that,interesting  exceptions,be aware
70,ionic  you,those,exist between ionic
71,ionic  they,different  system,are different
72,so  specifying,sufficient chemical formulas,provides sufficient
73,significant combination names,explicitly  ratios,identify
74,several combination ratios,molecular  compound,are
75,carbon,compounds CO,form
76,same  they,same  name,called
77,added  prefixes,element,use
78,farther  ending,suffix  ide,is
79,numbers,Greek  table,designated by
80,mono-,usually  part,deleted from
81,carbon CO2,,named
82,a,Greek  prefix,dropped
83,other  examples,table,shown in
84,you,chemistry,are
85,proper  name,example,is
86,even  rules,name dinitrogen monoxide,known as nitrous
87,H2O,,called
88,common  you,them,commit
89,,4.0 Creative Commons License,Adapted from
90,,,Download for free
91,Macroscopic  objects,particles,act as
92,Microscopic  objects,such  particle,have
93,exact  trajectories,,determined
94,mechanical  model,mathematical  function,describes
95,Atomic  wavefunctions,,called
96,squared  magnitude,particular  space,describes
97,where  electrons,atom,describe
98,atomic  orbital,three quantum numbers,characterized by
99,principal quantum number,,be
100,general  region,same n. shell,related to
101,angular momentum quantum number,n  1,have
102,quantum  number,orbital,describes
103,same l value,same  subshell,belong to
104,magnetic quantum number,1  space,describes
105,ms spin quantum that,spin quantum number,has
106,two  electrons,four quantum numbers,have
107,atomic  orbitals,which,determine
108,possible Hunds electrons,degenerate  orbitals,determined by
109,Electrons,chemical valence elements,called
110,periodic  elements,same valence electron group,occur within
111,completely filling orbitals,predicted filling order,formed
112,last  electron,three  which,divided into
113,instructor,that,evaluate
114,questions,material,be for
