Question Value,Options,Correct Option,Question Type
THIS IS AN EXAMPLE MULTIPLE CHOICE QUESTION. PLEASE EDIT OR DELETE IT.,Acceptable|Unacceptable,Unacceptable,multiplechoice
"You are exploring a dataset and have examined that the symmetry and found that your skewness coefficient is between -0.5 and 0.5, this means that:",Your data is symmetrical.|Your data is moderately skewed. |Your data is highly skewed.,Your data is symmetrical.,multiplechoice
Which pair below reflects the central value of a variable:,Mean and Median.|Variance and Sample Standard Deviation.|Covariance and Correlation.,Mean and Median.,multiplechoice
This type of chart displays a numerical variable as a series of data points connected by a line.,A line chart.|A bar chart.|A histogram.,A line chart.,multiplechoice
Validation,Acceptable|Unacceptable,Unacceptable,multiplechoice
,|,,multiplechoice
,|,,multiplechoice
Which of the following statements is correct?,"Although the data scientists will develop the models for an analytic solution, the client needs to understand the output of models as it will influence decisions.|A member of the business team might also have a data science background and can support the efforts of the data science team.|Collaboration is not encouraged as the data science project team owns the model development process. ","Although the data scientists will develop the models for an analytic solution, the client needs to understand the output of models as it will influence decisions.",multiplechoice
"An electricity supplier has seen an increase in regulator penalties for incorrect estimates of energy consumption to their customers. Similar to other electricity suppliers, this client would like to deliver the right amount of power to the grid at the right time. The client needs accurate predictive models to guide its market operations and has partnered with an AI solutions provider to develop an analytic solution that improves the prediction of expected energy consumption.","Defining requirements for the predictive models, and the energy consumption data.|Defining requirements for the predictive models, the data is not the issue.|Defining requirements for a reporting mechanism as this is the main issue.","Defining requirements for the predictive models, and the energy consumption data.",multiplechoice
"You have received a dataset with 10,000 observations, and 30 variables. One of your important variables has missing values for 3,000 observations. How can you handle the missing values:",You should use the list wise deletion technique and ignore all observations that have missing values in this variable. |You should first investigate why the values are missing before determining the next steps.|You should replace the missing values with a mean value since you do not want to lose 30% of your observations.,You should first investigate why the values are missing before determining the next steps.,multiplechoice
You use this process to extract portions of the dataset prior to the start of your analytic solution development. This method involves excluding variables instead of observations:,This process is called Subsetting.|This process is called Sampling.|This process is called Imputation.,This process is called Subsetting.,multiplechoice
How do you handle creating dummy variables for a categorical variable with more than two levels:,"You create k-1 dummy variables and use the last category as a reference category.|You gather the variables that have the largest occurrence and ignore those with smaller occurrences as they  hold no meaning.|You create an ""other"" category for the categories that are smaller in number.",You create k-1 dummy variables and use the last category as a reference category.,multiplechoice
A scenario that attempts to evaluate the dataset in entirety before choosing the right query.,Membership query synthesis.|Pool-based sampling.|Stream based selective sampling.,Pool-based sampling.,multiplechoice
Learner evaluates the informativeness of each unlabeled data point and then assigning a label or asking a human annotator or teacher for assistance:,Pool Based Sampling.|Stream Based Selective Sampling.|Membership Query Synthesis.,Stream Based Selective Sampling.,multiplechoice
The learner produces a datapoint that is similar to those found in the entire dataset and presents it to be labeled by the oracle.,Stream Based Selective Sampling.|Membership Query Synthesis.|Pool Based Sampling.,Membership Query Synthesis.,multiplechoice
THIS IS AN EXAMPLE MULTIPLE CHOICE QUESTION. PLEASE EDIT OR DELETE IT.,Acceptable|Unacceptable,Unacceptable,multiplechoice
"Every human has prior knowledge and experiences that inform their daily decision making processes. Data scientists might carry these biases into their work as well. If a data scientist uses their own personal beliefs to confirm results in a study or project, this is called:",Confirmation Bias|Confounding Bias.|This is not bias.,Confirmation Bias,multiplechoice
How can you control for information bias:,By implementing blinding.|By excluding yourself from the project.|It is not possible to control for information bias.,By implementing blinding.,multiplechoice
What is the main purpose of the problem statement in the analytic objective?,It explains why the business objective has not been reached.|It focuses on specific steps necessary to achieve the business objective that can benefit from data-driven methods in the project.,It focuses on specific steps necessary to achieve the business objective that can benefit from data-driven methods in the project.,multiplechoice
A technique for generating ideas from a small group of stakeholders is known as a(n):,Observation.|Brainstorming Session.|Document Analysis.,Brainstorming Session.,multiplechoice
The business analyst has conducted one-on-one interviews and brainstorming sessions to elicit requirements from users. The information as gathered shows that users view their needs differently from the analytic objectives set by the client. What techniques would provide additional information to properly define the user requirements?,Conduct document Analysis and observation sessions.|Conduct a group interview session as this will guide users in providing less conflicting answers.|Call for a meeting with the project team and client sponsors. This conflict means the business objectives are not properly defined.,Conduct document Analysis and observation sessions.,multiplechoice
Business requirements are best gathered using:,Joint application design sessions.|Brainstorming sessions with system users.|Use case modeling sessions with decision makers.,Joint application design sessions.,multiplechoice
THIS IS AN EXAMPLE MULTIPLE CHOICE QUESTION. PLEASE EDIT OR DELETE IT.,Acceptable|Unacceptable,Unacceptable,multiplechoice
Which of the following statements is not related to cluster analysis:,Euclidean distance measures is used as a similarity measure in kMeans clustering.|Cluster analysis involves organizing small amounts of data against larger datasets.|Agglomerative clustering takes each observation in the dataset and forms its own cluster before grouping it with similar clusters.,Cluster analysis involves organizing small amounts of data against larger datasets.,multiplechoice
"You have access to a large data set to review customer visits to the different retailers at all Simon Malls in the US, you are only interested in creating a small number of clusters to view the results of visits and you want this done quickly. What type of clustering method would work best?",k-Means Clustering.|Agglomerative Clustering.|Divisive Clustering.,k-Means Clustering.,multiplechoice
Which of the following is true about Principal Component Analysis:,You standardize your data before performing principal component analysis  because the technique is sensitive to variances in the data.|PCA does not maximize the variance of the data. |PCA is considered a non-linear transformation technique.,You standardize your data before performing principal component analysis  because the technique is sensitive to variances in the data.,multiplechoice
"You are on a project that has sourced data from an IoT enabled device, this dataset contains dimensions that might not all be useful to the study. What technique is used to reduce the",Dimensionality reduction.|Omission.|Segment the data.,Dimensionality reduction.,multiplechoice
